county,region,win_gore00,clinton96,dole96,perot96,bush00,gore00,buchanan00,pct_gore00,pct_clinton96,pop,pct_white,pct_black,pct_asian,pct_hisp,hisp_cuban,hisp_puertorican,hisp_mexian,incomepc2000,code
Escambia,Panhandle,0,37768,60839,8587,73017,40943,502,0.3577,0.3523,301204,0.7083,0.2127,0.0276,0.0294,624,1843,2679,24379,ESC
Flagler,North,1,9583,8232,2185,12613,13897,83,0.5226,0.4792,50624,0.8315,0.0892,0.0141,0.0536,292,1031,237,24091,FLA
Franklin,Panhandle,0,2095,1563,878,2454,2046,33,0.4514,0.4619,11212,0.7974,0.1593,0.0031,0.0259,81,53,63,21491,FRA
Gadsden,Panhandle,1,9405,3813,938,4767,9735,38,0.6695,0.6644,45516,0.3595,0.5661,0.0034,0.064,79,108,1957,20363,GAD
Gilchrist,North,0,1985,1939,841,3300,1910,29,0.3646,0.4166,14629,0.8854,0.0703,0.0025,0.0303,46,118,114,20326,GIL
Glades,Central,0,1530,1361,521,1841,1442,9,0.438,0.4484,10746,0.6835,0.1048,0.0045,0.1544,100,162,1063,17088,GLA
Gulf,Panhandle,0,2480,2424,1054,3550,2397,71,0.3983,0.4162,13559,0.7847,0.1701,0.0058,0.0221,59,58,73,16993,GUL
Hamilton,North,0,1734,1518,406,2146,1722,23,0.4426,0.474,13498,0.5485,0.3717,0.0036,0.0673,187,98,392,14622,HAM
Hardee,Central,0,2417,2926,851,3765,2339,30,0.3813,0.3902,27486,0.541,0.0827,0.0036,0.36,89,283,7531,17816,HAR
Hendry,South,0,3882,3855,1135,4747,3240,22,0.4045,0.4376,37388,0.43120000000000003,0.1437,0.0052,0.4056,1498,813,10141,20289,HEN
Hernando,Central,1,28520,22039,7272,30646,32644,242,0.5138,0.4932,132399,0.8883,0.0413,0.0081,0.053,440,3841,814,24065,HER
Highlands,Central,0,14244,15608,3739,20206,14167,127,0.4106,0.424,88747,0.7592,0.0928,0.0115,0.1253,554,3039,5552,20519,HIG
