stt,age,inc,eth,sex,edu,pop2008
AL,30-44,$75-150k,Hispanic,Female,Post-Grad,90
AL,30-44,$75-150k,Other,Male,< HS,194
AL,30-44,$75-150k,Other,Male,HS,509
AL,30-44,$75-150k,Other,Male,Some Coll,734
AL,30-44,$75-150k,Other,Male,Coll,560
AL,30-44,$75-150k,Other,Male,Post-Grad,397
AL,30-44,$75-150k,Other,Female,< HS,213
AL,30-44,$75-150k,Other,Female,HS,450
AL,30-44,$75-150k,Other,Female,Some Coll,879
AL,30-44,$75-150k,Other,Female,Coll,635
AL,30-44,$75-150k,Other,Female,Post-Grad,261
AL,30-44,$150k+,White,Male,< HS,444
AL,30-44,$150k+,White,Male,HS,1960
AL,30-44,$150k+,White,Male,Some Coll,3013
AL,30-44,$150k+,White,Male,Coll,5516
AL,30-44,$150k+,White,Male,Post-Grad,5751
AL,30-44,$150k+,White,Female,< HS,366
AL,30-44,$150k+,White,Female,HS,1789
AL,30-44,$150k+,White,Female,Some Coll,4908
AL,30-44,$150k+,White,Female,Coll,8066
AL,30-44,$150k+,White,Female,Post-Grad,4707
AL,30-44,$150k+,Black,Male,< HS,181
AL,30-44,$150k+,Black,Male,HS,291
AL,30-44,$150k+,Black,Male,Some Coll,377
AL,30-44,$150k+,Black,Male,Coll,559
AL,30-44,$150k+,Black,Male,Post-Grad,371
AL,30-44,$150k+,Black,Female,< HS,81
AL,30-44,$150k+,Black,Female,HS,124
AL,30-44,$150k+,Black,Female,Some Coll,269
AL,30-44,$150k+,Black,Female,Coll,434
AL,30-44,$150k+,Black,Female,Post-Grad,762
AL,30-44,$150k+,Hispanic,Male,< HS,0
AL,30-44,$150k+,Hispanic,Male,HS,41
AL,30-44,$150k+,Hispanic,Male,Some Coll,36
AL,30-44,$150k+,Hispanic,Male,Coll,0
AL,30-44,$150k+,Hispanic,Male,Post-Grad,96
AL,30-44,$150k+,Hispanic,Female,< HS,17
AL,30-44,$150k+,Hispanic,Female,HS,4
AL,30-44,$150k+,Hispanic,Female,Some Coll,102
AL,30-44,$150k+,Hispanic,Female,Coll,100
AL,30-44,$150k+,Hispanic,Female,Post-Grad,0
AL,30-44,$150k+,Other,Male,< HS,15
AL,30-44,$150k+,Other,Male,HS,203
AL,30-44,$150k+,Other,Male,Some Coll,30
AL,30-44,$150k+,Other,Male,Coll,150
AL,30-44,$150k+,Other,Male,Post-Grad,218
AL,30-44,$150k+,Other,Female,< HS,15
AL,30-44,$150k+,Other,Female,HS,32
AL,30-44,$150k+,Other,Female,Some Coll,75
AL,30-44,$150k+,Other,Female,Coll,208
AL,30-44,$150k+,Other,Female,Post-Grad,133
AL,45-64,$0-20k,White,Male,< HS,17584
AL,45-64,$0-20k,White,Male,HS,15242
AL,45-64,$0-20k,White,Male,Some Coll,8985
AL,45-64,$0-20k,White,Male,Coll,2709
AL,45-64,$0-20k,White,Male,Post-Grad,1084
AL,45-64,$0-20k,White,Female,< HS,18684
AL,45-64,$0-20k,White,Female,HS,23524
AL,45-64,$0-20k,White,Female,Some Coll,12939
AL,45-64,$0-20k,White,Female,Coll,2984
AL,45-64,$0-20k,White,Female,Post-Grad,1076
AL,45-64,$0-20k,Black,Male,< HS,12064
AL,45-64,$0-20k,Black,Male,HS,10178
AL,45-64,$0-20k,Black,Male,Some Coll,4096
AL,45-64,$0-20k,Black,Male,Coll,879
AL,45-64,$0-20k,Black,Male,Post-Grad,251
AL,45-64,$0-20k,Black,Female,< HS,14043
AL,45-64,$0-20k,Black,Female,HS,17244
AL,45-64,$0-20k,Black,Female,Some Coll,10354
AL,45-64,$0-20k,Black,Female,Coll,1595
AL,45-64,$0-20k,Black,Female,Post-Grad,430
AL,45-64,$0-20k,Hispanic,Male,< HS,358
AL,45-64,$0-20k,Hispanic,Male,HS,64
AL,45-64,$0-20k,Hispanic,Male,Some Coll,53
AL,45-64,$0-20k,Hispanic,Male,Coll,10
AL,45-64,$0-20k,Hispanic,Male,Post-Grad,48
AL,45-64,$0-20k,Hispanic,Female,< HS,227
AL,45-64,$0-20k,Hispanic,Female,HS,210
AL,45-64,$0-20k,Hispanic,Female,Some Coll,189
AL,45-64,$0-20k,Hispanic,Female,Coll,0
AL,45-64,$0-20k,Hispanic,Female,Post-Grad,0
AL,45-64,$0-20k,Other,Male,< HS,804
AL,45-64,$0-20k,Other,Male,HS,643
AL,45-64,$0-20k,Other,Male,Some Coll,382
AL,45-64,$0-20k,Other,Male,Coll,108
AL,45-64,$0-20k,Other,Male,Post-Grad,237
AL,45-64,$0-20k,Other,Female,< HS,1074
AL,45-64,$0-20k,Other,Female,HS,837
AL,45-64,$0-20k,Other,Female,Some Coll,504
AL,45-64,$0-20k,Other,Female,Coll,128
AL,45-64,$0-20k,Other,Female,Post-Grad,172
AL,45-64,$20-40k,White,Male,< HS,18825
AL,45-64,$20-40k,White,Male,HS,28585
AL,45-64,$20-40k,White,Male,Some Coll,20806
AL,45-64,$20-40k,White,Male,Coll,4929
AL,45-64,$20-40k,White,Male,Post-Grad,2009
AL,45-64,$20-40k,White,Female,< HS,17090
AL,45-64,$20-40k,White,Female,HS,38076
AL,45-64,$20-40k,White,Female,Some Coll,23443
AL,45-64,$20-40k,White,Female,Coll,5666
AL,45-64,$20-40k,White,Female,Post-Grad,3394
AL,45-64,$20-40k,Black,Male,< HS,8668
AL,45-64,$20-40k,Black,Male,HS,12391
AL,45-64,$20-40k,Black,Male,Some Coll,6898
AL,45-64,$20-40k,Black,Male,Coll,1625
AL,45-64,$20-40k,Black,Male,Post-Grad,226
AL,45-64,$20-40k,Black,Female,< HS,7647
AL,45-64,$20-40k,Black,Female,HS,17170
AL,45-64,$20-40k,Black,Female,Some Coll,12482
AL,45-64,$20-40k,Black,Female,Coll,2777
AL,45-64,$20-40k,Black,Female,Post-Grad,1596
