company,ticker,date,price
Alphabet,GOOG,2009-10-13,262.79
Alphabet,GOOG,2009-10-12,261.76
Alphabet,GOOG,2009-10-09,257.87
Alphabet,GOOG,2009-10-08,256.83
Alphabet,GOOG,2009-10-07,258.51
Alphabet,GOOG,2009-10-06,249.12
Alphabet,GOOG,2009-10-05,244.02
Alphabet,GOOG,2009-10-02,242.05
Alphabet,GOOG,2009-10-01,243.36
Alphabet,GOOG,2009-09-30,247.68
Alphabet,GOOG,2009-09-29,249.02
Alphabet,GOOG,2009-09-28,249.02
Alphabet,GOOG,2009-09-25,245.99
Alphabet,GOOG,2009-09-24,248.14
Alphabet,GOOG,2009-09-23,248.98
Alphabet,GOOG,2009-09-22,249.28
Alphabet,GOOG,2009-09-21,248.25
Alphabet,GOOG,2009-09-18,245.48
Alphabet,GOOG,2009-09-17,245.61
Alphabet,GOOG,2009-09-16,243.9
Alphabet,GOOG,2009-09-15,238.53
Alphabet,GOOG,2009-09-14,237.32
Alphabet,GOOG,2009-09-11,235.83
Alphabet,GOOG,2009-09-10,235.23
Alphabet,GOOG,2009-09-09,231.75
Alphabet,GOOG,2009-09-08,229.08
Alphabet,GOOG,2009-09-04,230.42
Alphabet,GOOG,2009-09-03,228.53
Alphabet,GOOG,2009-09-02,226.28
Alphabet,GOOG,2009-09-01,227.65
Alphabet,GOOG,2009-08-31,230.6
Alphabet,GOOG,2009-08-28,232.14
Alphabet,GOOG,2009-08-27,232.8
Alphabet,GOOG,2009-08-26,233.77
Alphabet,GOOG,2009-08-25,235.45
Alphabet,GOOG,2009-08-24,234.13
Alphabet,GOOG,2009-08-21,232.39
Alphabet,GOOG,2009-08-20,229.97
Alphabet,GOOG,2009-08-19,221.76
Alphabet,GOOG,2009-08-18,222.42
Alphabet,GOOG,2009-08-17,222.22
Alphabet,GOOG,2009-08-14,229.77
Alphabet,GOOG,2009-08-13,230.91
Alphabet,GOOG,2009-08-12,229.06
Alphabet,GOOG,2009-08-11,226.74
Alphabet,GOOG,2009-08-10,228.08
Alphabet,GOOG,2009-08-07,228.32
Alphabet,GOOG,2009-08-06,224.95
Alphabet,GOOG,2009-08-05,225.34
Alphabet,GOOG,2009-08-04,226.64
Alphabet,GOOG,2009-08-03,225.88
Alphabet,GOOG,2009-07-31,221.3
Alphabet,GOOG,2009-07-30,222.6
Alphabet,GOOG,2009-07-29,217.9
Alphabet,GOOG,2009-07-28,219.71
Alphabet,GOOG,2009-07-27,222.18
Alphabet,GOOG,2009-07-24,223.14
Alphabet,GOOG,2009-07-23,218.45
Alphabet,GOOG,2009-07-22,213.63
Alphabet,GOOG,2009-07-21,213.74
Alphabet,GOOG,2009-07-20,214.87
Alphabet,GOOG,2009-07-17,214.91
Alphabet,GOOG,2009-07-16,221.08
Alphabet,GOOG,2009-07-15,218.87
Alphabet,GOOG,2009-07-14,212.13
Alphabet,GOOG,2009-07-13,211.94
Alphabet,GOOG,2009-07-10,206.99
Alphabet,GOOG,2009-07-09,204.99
Alphabet,GOOG,2009-07-08,201.04
Alphabet,GOOG,2009-07-07,198.12
Alphabet,GOOG,2009-07-06,204.6
Alphabet,GOOG,2009-07-02,204.04
Alphabet,GOOG,2009-07-01,209.29
Alphabet,GOOG,2009-06-30,210.58
Alphabet,GOOG,2009-06-29,211.86
Alphabet,GOOG,2009-06-26,212.45
Alphabet,GOOG,2009-06-25,207.68
Alphabet,GOOG,2009-06-24,204.44
Alphabet,GOOG,2009-06-23,202.64
Alphabet,GOOG,2009-06-22,203.47
Alphabet,GOOG,2009-06-19,209.83
Alphabet,GOOG,2009-06-18,206.82
Alphabet,GOOG,2009-06-17,207.37
Alphabet,GOOG,2009-06-16,207.79
Alphabet,GOOG,2009-06-15,208.18
Alphabet,GOOG,2009-06-12,212.21
Alphabet,GOOG,2009-06-11,214.29
Alphabet,GOOG,2009-06-10,216.08
Alphabet,GOOG,2009-06-09,217.59
Alphabet,GOOG,2009-06-08,219.17
Alphabet,GOOG,2009-06-05,221.94
Alphabet,GOOG,2009-06-04,219.92
Alphabet,GOOG,2009-06-03,215.61
Alphabet,GOOG,2009-06-02,213.99
Alphabet,GOOG,2009-06-01,213.07
Alphabet,GOOG,2009-05-29,208.41
Alphabet,GOOG,2009-05-28,204.99
Alphabet,GOOG,2009-05-27,202.58
Alphabet,GOOG,2009-05-26,201.98
Alphabet,GOOG,2009-05-22,196.55
Alphabet,GOOG,2009-05-21,198.05
Alphabet,GOOG,2009-05-20,198.39
Alphabet,GOOG,2009-05-19,199.24
Alphabet,GOOG,2009-05-18,198.22
Alphabet,GOOG,2009-05-15,194.8
Alphabet,GOOG,2009-05-14,193.56
Alphabet,GOOG,2009-05-13,194.58
Alphabet,GOOG,2009-05-12,199.31
Alphabet,GOOG,2009-05-11,203.79
Alphabet,GOOG,2009-05-08,203.46
Alphabet,GOOG,2009-05-07,198.11
Alphabet,GOOG,2009-05-06,201.53
Alphabet,GOOG,2009-05-05,201.29
Alphabet,GOOG,2009-05-04,200.79
Alphabet,GOOG,2009-05-01,196.65
Alphabet,GOOG,2009-04-30,197.79
Alphabet,GOOG,2009-04-29,195.54
Alphabet,GOOG,2009-04-28,191.66
Alphabet,GOOG,2009-04-27,192.78
Alphabet,GOOG,2009-04-24,194.55
Alphabet,GOOG,2009-04-23,192.15
Alphabet,GOOG,2009-04-22,191.74
Alphabet,GOOG,2009-04-21,190.54
Alphabet,GOOG,2009-04-20,189.46
Alphabet,GOOG,2009-04-17,195.92
Alphabet,GOOG,2009-04-16,194.18
